Retail Pharmacy Partner Name,Address 1,City,County,State,Zip Code,Vaccine,Date,Doses,Georeferenced Latitude & Longitude
Rite Aid 07825,201 Devine Drive,Wexford,Allegheny,PA,15090,Pfizer Vaccine,05/25/2021,1170,POINT (-80.090441 40.617256)
The Giant Company Store # 6442,116 West Township Line Rd,Havertown,Delaware,PA,19083,Moderna Vaccine,05/25/2021,100,POINT (-75.296082 39.967758)
Pleasant Hills Apothecary,25 Gill Hall Road,Clairton,Allegheny,PA,15025,Janssen Vaccine,05/25/2021,100,POINT (-79.957735 40.321833)
Cvs Store #01640,"4686 Rte 209, Lykens Valley S/c",Elizabethville,Dauphin,PA,17023,Pfizer Vaccine,05/25/2021,1170,
Cvs Store #02481,312 South Henderson Rd,King of Prussia,Montgomery,PA,19406,Pfizer Vaccine,05/25/2021,1170,POINT (-75.35993 40.090593)
Cvs Store #01599,700 West Front St.,Berwick,Columbia,PA,18603,Pfizer Vaccine,05/25/2021,1170,POINT (-76.244385 41.050779)
The Giant Company Store # 6474,1153 North 5th Street,Perkasie,Bucks,PA,18944,Moderna Vaccine,05/25/2021,200,POINT (-75.276549 40.383467)
Cvs Store #10249,1650 Menoher Blvd.,Johnstown,Cambria,PA,15905,Janssen Vaccine,05/25/2021,200,POINT (-78.956348 40.315635)
Cvs Store #01654,1700 North George Street,York,York,PA,17404,Pfizer Vaccine,05/25/2021,1170,POINT (-76.735242 39.984408)
Weis Markets Inc,6901 Westbranch Highway,Lewisburg,Union,PA,17837,Moderna Vaccine,05/25/2021,100,POINT (-76.889546 40.974303)
Weis Markets Inc,30 Primrose Lane,East Berlin,Adams,PA,17316,Janssen Vaccine,05/25/2021,100,POINT (-76.979607 39.924961)
Walmart Pharmacy #3738,100 Highlands Mall,Natrona Heights,Allegheny,PA,15065,Janssen Vaccine,05/25/2021,100,POINT (-79.711358 40.64616)
Giant Eagle Inc.,8080 Mcintyre Square Drive,Pittsburgh,Allegheny,PA,15237,Moderna Vaccine,05/25/2021,100,POINT (-80.017436 40.555768)
Warminster Square Pharmacy,1535 West Street Road,Warminster,Bucks,PA,18974,Moderna Vaccine,05/25/2021,100,POINT (-75.124329 40.220867)
Cvs Store #02370,3865 Derry Street,Harrisburg,Dauphin,PA,17111,Pfizer Vaccine,05/25/2021,1170,POINT (-76.820606 40.257917)
Cvs Store #01916,1101 N Atherton St,State College,Centre,PA,16803,Pfizer Vaccine,05/25/2021,1170,POINT (-77.879976 40.801386)
Weis Markets Inc,1471 Martin St,State College,Centre,PA,16803,Moderna Vaccine,05/25/2021,100,POINT (-77.891 40.804368)
Rite Aid 01074,1137 Market Street,Lemoyne,Cumberland,PA,17043,Janssen Vaccine,05/25/2021,400,POINT (-76.90779 40.241861)
Cvs Store #07132,3015 E. Lincoln Highway,Thorndale,Chester,PA,19372,Janssen Vaccine,05/25/2021,200,POINT (-75.763841 39.993025)
Giant Eagle Inc.,419 South Main Street,Greenville,Mercer,PA,16125,Moderna Vaccine,05/25/2021,100,POINT (-80.371204 41.41001)
The Giant Company Store # 6051,141 East Swedesford Road,Exton,Chester,PA,19341,Moderna Vaccine,05/25/2021,100,POINT (-75.62932 40.033335)
Sav-on Pharmacy,1336 Bristol Pike Ste 100,Bensalem,Bucks,PA,19020,Moderna Vaccine,05/25/2021,100,POINT (-74.966018 40.071297)
Concept Pharmacy Services,639 Chestnut Street,Ashland,Schuylkill,PA,17921,Moderna Vaccine,05/25/2021,100,POINT (-76.346877 40.782195)
Walgreens Store #06924,152 E Lancaster Ave,Paoli,Chester,PA,19301,Moderna Vaccine,05/25/2021,100,POINT (-75.476955 40.04214)
Walmart Pharmacy #2445,1515 Bethlehem Pike,Hatfield,Montgomery,PA,19440,Janssen Vaccine,05/25/2021,100,POINT (-75.265984 40.28789)
Walgreens Store #10958,30 W Ridge Pike,Linfield,Montgomery,PA,19468,Moderna Vaccine,05/25/2021,100,POINT (-75.501548 40.216037)
Cvs Store #01582,1101 Mill St.,Danville,Montour,PA,17821,Pfizer Vaccine,05/25/2021,1170,
Giant Eagle Inc.,110 S. Martin St,Titusville,Crawford,PA,16354,Moderna Vaccine,05/25/2021,100,POINT (-79.671596 41.626136)
Weis Markets Inc,1321 Blue Valley Drive,Pen Argyl,Northampton,PA,18072,Moderna Vaccine,05/25/2021,100,POINT (-75.236443 40.87292)
Cvs Store #05709,405 W. Dubois Ave.,Dubois,Clearfield,PA,15801,Janssen Vaccine,05/25/2021,100,POINT (-78.762967 41.129055)
Weis Markets Inc,351 E High Street,Carlisle,Cumberland,PA,17013,Moderna Vaccine,05/25/2021,100,POINT (-77.181947 40.200868)
Depietro's Pharmacy,617 3rd Street,Dunmore,Lackawanna,PA,18512,Janssen Vaccine,05/25/2021,100,POINT (-75.634095 41.415683)
The Giant Company Store # 6316,1550 N Main St,Dickson City,Lackawanna,PA,18447,Moderna Vaccine,05/25/2021,100,POINT (-75.46662 41.662382)
Giant Eagle Inc.,111 West Madison Street,Rochester,Beaver,PA,15074,Moderna Vaccine,05/25/2021,100,POINT (-80.28853 40.702417)
Walgreens Store #09942,2646 Darlington Rd,Beaver Falls,Beaver,PA,15010,Moderna Vaccine,05/25/2021,100,POINT (-80.380868 40.775376)
Weis Markets Inc,1105 Chestnut Street,Berwick,Columbia,PA,18603,Moderna Vaccine,05/25/2021,100,POINT (-76.236082 41.063424)
Weis Markets Inc,924 Weir Lake Rd,Brodheadsville,Monroe,PA,18322,Moderna Vaccine,05/25/2021,100,POINT (-75.4216 40.915974)
Cvs Store #17569,960 Lititz Pike,Lititz,Lancaster,PA,17543,Moderna Vaccine,05/25/2021,200,POINT (-76.304095 40.133251)
Costco Pharmacy # 248,740 Upper State Road,Montgomery Township,Montgomery,PA,19454,Moderna Vaccine,05/25/2021,100,POINT (-75.23589 40.238897)
Cvs Store #01598,1849 Lycoming Creek Road,Williamsport,Lycoming,PA,17701,Janssen Vaccine,05/25/2021,200,POINT (-77.043616 41.253789)
Weis Markets Inc,611-619 Fifteenth Street,Huntingdon,Huntingdon,PA,16652,Moderna Vaccine,05/25/2021,100,POINT (-78.014145 40.496568)
The Giant Company Store # 6471,86 Glocker Way,Pottstown,Chester,PA,19465,Moderna Vaccine,05/25/2021,100,POINT (-75.657585 40.208874)
Cvs Store #01577,1000 North Market Street,Selinsgrove,Snyder,PA,17870,Pfizer Vaccine,05/25/2021,1170,POINT (-76.856252 40.811142)
Cvs Store #11422,177 Erie Boulevard,Susquehanna,Susquehanna,PA,18847,Janssen Vaccine,05/25/2021,100,POINT (-75.606875 41.945461)
The Giant Company Store # 6265,1201 Knapp Road,North Wales,Montgomery,PA,19454,Moderna Vaccine,05/25/2021,100,POINT (-75.240973 40.226013)
The Giant Company Store # 6481,10 Ridge Pike,Conshohocken,Montgomery,PA,19428,Moderna Vaccine,05/25/2021,200,
Walgreens Store #12669,2100 N Township Blvd,Pittston,Luzerne,PA,18640,Pfizer Vaccine,05/25/2021,1170,POINT (-75.7801 41.318294)
Cvs Store #04039,300 8th St..,Ambridge,Beaver,PA,15003,Janssen Vaccine,05/25/2021,200,POINT (-80.228284 40.589132)
The Giant Company Store # 6084,2670 Egypt Road,Norristown,Montgomery,PA,19403,Moderna Vaccine,05/25/2021,100,POINT (-75.405366 40.130509)
Walmart Pharmacy #2535,500 Terry Rich Blvd,Saint Clair,Schuylkill,PA,17970,Pfizer Vaccine,05/25/2021,1170,POINT (-76.192112 40.729089)
The Giant Company Store # 6504,300 Lincoln Ave,East Stroudsburg,Monroe,PA,18301,Moderna Vaccine,05/25/2021,100,POINT (-75.183455 40.992019)
The Giant Company Store # 6253,130 Old York Road,New Cumberland,Cumberland,PA,17070,Moderna Vaccine,05/25/2021,100,POINT (-76.859992 40.215176)
Rite Aid 11153,1535 West Chester Pike,West Chester,Chester,PA,19382,Pfizer Vaccine,05/25/2021,1170,POINT (-75.526137 39.966798)
Omnicare of King of Prussia #48333,600 Allendale Rd,King of Prussia,Montgomery,PA,19406,Janssen Vaccine,05/25/2021,100,POINT (-75.394986 40.098928)
Giant Eagle Inc.,2357 E. State Street,Hermitage,Mercer,PA,16148,Moderna Vaccine,05/25/2021,100,POINT (-80.466535 41.233423)
Rite Aid 02277,1799 Third Street,Beaver,Beaver,PA,15009,Moderna,02/01/2021,100,
Sav-on Pharmacy,480 N Main St,Doylestown,Bucks,PA,18901,Moderna Vaccine,05/25/2021,100,POINT (-75.130727 40.322063)
Rite Aid 11027,1430 Baltimore Street,Hanover,York,PA,17331,Janssen Vaccine,05/25/2021,500,POINT (-76.960417 39.77211)
Walmart Pharmacy #2614,5370 Allentown Pike,Temple,Berks,PA,19560,Janssen Vaccine,05/25/2021,100,POINT (-75.919091 40.416597)
Sam's Pharmacy #4855,261 Wilson Ave,Hanover,York,PA,17331,Janssen Vaccine,05/25/2021,100,POINT (-76.988925 39.827326)
Rite Aid 00216,6 Bochicchio Boulevard,Moscow,Lackawanna,PA,18444,Pfizer Vaccine,05/25/2021,1170,POINT (-75.513334 41.307777)
Sav-on Pharmacy,567 Sproul Rd,Broomall,Delaware,PA,19008,Pfizer Vaccine,05/25/2021,2340,
Walgreens Store #11560,949 Lincoln Way E,Chambersburg,Franklin,PA,17201,Janssen Vaccine,05/25/2021,200,POINT (-77.6438 39.931589)
Walmart Pharmacy #2611,2100 Summit Ridge Plz,Mount Pleasant,Westmoreland,PA,15666,Janssen Vaccine,05/25/2021,100,POINT (-79.547845 40.127366)
The Giant Company Store # 6541,176 W Street Rd,Feasterville Trevose,Bucks,PA,19053,Moderna Vaccine,05/25/2021,100,POINT (-75.00797 40.153902)
Wagners Clifford Pharmacy,1638 State Route 106,Clifford,Susquehanna,PA,18413,Moderna Vaccine,05/25/2021,100,POINT (-75.598087 41.648539)
Giant Eagle Inc.,41 Towne Center Drive,Leechburg,Westmoreland,PA,15656,Moderna Vaccine,05/25/2021,100,POINT (-79.611167 40.608325)
Cvs Store #01193,835 Old York Rd.,Jenkintown,Montgomery,PA,19046,Pfizer Vaccine,05/25/2021,1170,POINT (-75.124125 40.106255)
Walgreens Store #09676,99 Jefferson Ave,Washington,Washington,PA,15301,Janssen Vaccine,05/25/2021,100,POINT (-80.251761 40.171249)
Whitemarsh Pharmacy,553 Germantown Pike,Lafayette Hill,Montgomery,PA,19444,Moderna Vaccine,05/25/2021,100,POINT (-75.251552 40.086114)
The Giant Company Store # 6461,801 Baltimore Street,Hanover,York,PA,17331,Moderna Vaccine,05/25/2021,200,POINT (-76.969742 39.788077)
Weis Markets Inc,2100 County Line Road,Huntingdon Valley,Montgomery,PA,19006,Janssen Vaccine,05/25/2021,100,POINT (-75.071308 40.17095)
Walgreens Store #11296,4900 Library Rd,Bethel Park,Allegheny,PA,15102,Pfizer Vaccine,05/25/2021,1170,POINT (-80.027296 40.34592)
Walmart Pharmacy #2278,1825 Downs Dr,Erie,Erie,PA,16509,Pfizer Vaccine,05/25/2021,1170,POINT (-80.081696 42.052639)
Rite Aid 10909,1710 Mount Royal Blvd.,Glenshaw,Allegheny,PA,15116,Pfizer Vaccine,05/25/2021,1170,POINT (-79.9629 40.52582)
Rite Aid 00726,1080 S Washington Avenue,Scranton,Lackawanna,PA,18505,Pfizer Vaccine,05/25/2021,1170,POINT (-75.67445 41.398311)
Weis Markets Inc,3885 Union Deposit Road,Harrisburg,Dauphin,PA,17109,Moderna Vaccine,05/25/2021,100,POINT (-76.824615 40.27828)
Costco Pharmacy # 1081,14 W Lightcap Road,Pottstown,Montgomery,PA,19464,Pfizer Vaccine,05/25/2021,1170,POINT (-75.578296 40.239416)
Giant Eagle Inc.,1300 Country Club Road,Monongahela,Washington,PA,15063,Moderna Vaccine,05/25/2021,100,POINT (-79.916074 40.171721)
Walmart Pharmacy #5131,3461 Horizon Blvd,Bensalem,Bucks,PA,19053,Janssen Vaccine,05/25/2021,100,POINT (-74.966042 40.137084)
Giant Eagle Inc.,3220 Leechburg Road,Lower Burrell,Westmoreland,PA,15068,Moderna Vaccine,05/25/2021,100,POINT (-79.709436 40.585342)
Rite Aid 00246,337 West Chocolate Avenue,Hershey,Dauphin,PA,17033,Pfizer Vaccine,05/25/2021,1170,POINT (-76.657264 40.283018)
Rite Aid 10950,568 Caste Village,Pittsburgh,Allegheny,PA,15236,Pfizer Vaccine,05/25/2021,1170,POINT (-80.005271 40.365252)
Walmart Pharmacy #2597,10 Kimberly Ln,Cranberry,Venango,PA,16319,Janssen Vaccine,05/25/2021,100,POINT (-79.718348 41.350517)
The Giant Company Store # 6485,789 East Main Street,Mount Joy,Lancaster,PA,17552,Moderna Vaccine,05/25/2021,200,POINT (-76.484795 40.109335)
Weis Markets Inc,1272 East Penn Street,Muncy,Lycoming,PA,17756,Moderna Vaccine,05/25/2021,100,POINT (-76.761133 41.210828)
The Giant Company Store # 6519,4275 County Line Road,Chalfont,Bucks,PA,18914,Moderna Vaccine,05/25/2021,100,POINT (-75.226544 40.26473)
The Medicine Shoppe Pharmacy,100 E Grove St,Clarks Summit,Lackawanna,PA,18411,Janssen Vaccine,05/25/2021,100,POINT (-75.699431 41.493276)
Walmart Pharmacy #3838,2010 Village Center Dr,Tarentum,Allegheny,PA,15084,Janssen Vaccine,05/25/2021,100,POINT (-79.802158 40.566499)
Giant Eagle Inc.,7000 Oxford Dr.,Bethel Park,Allegheny,PA,15102,Moderna Vaccine,05/25/2021,100,POINT (-80.048322 40.346265)
Gateway Pharmacy,165 Nutt Road,Phoenixville,Chester,PA,19460,Janssen Vaccine,05/25/2021,200,POINT (-75.525371 40.128268)
Chambers' Apothecary,278 Lincoln Way E,Chambersburg,Franklin,PA,17201,Janssen Vaccine,05/25/2021,100,POINT (-77.657513 39.936993)
Cvs Store #07611,4849 William Flynn Hwy.,Allison Park,Allegheny,PA,15101,Pfizer Vaccine,05/25/2021,1170,POINT (-79.947572 40.599092)
Weis Markets Inc,140 Continental Blvd,Danville,Montour,PA,17821,Janssen Vaccine,05/04/2021,100,
Rite Aid 00290,500 East Lancaster Avenue,Shillington,Berks,PA,19607,Janssen Vaccine,05/25/2021,200,POINT (-75.958386 40.307421)
Cvs Store #06790,509 Davis Street,Scranton,Lackawanna,PA,18505,Janssen Vaccine,05/25/2021,200,POINT (-75.69369 41.378148)
Giant Eagle Inc.,254 Yost Blvd.,Pittsburgh,Allegheny,PA,15221,Moderna Vaccine,05/25/2021,100,POINT (-79.855079 40.413274)
Rite Aid 11020,415 South 9th Street,Lebanon,Lebanon,PA,17042,Janssen Vaccine,05/25/2021,400,POINT (-76.425645 40.333245)
Cvs Store #01074,870 E. Baltimore Pike,Kennett Square,Chester,PA,19348,Pfizer Vaccine,05/25/2021,1170,POINT (-75.680376 39.862614)
Rite Aid 07894,4999 Jonestown Rd,Harrisburg,Dauphin,PA,17109,Janssen Vaccine,05/25/2021,400,POINT (-76.805603 40.306378)
The Giant Company Store # 6539,5005 Jonestown Road,Harrisburg,Dauphin,PA,17109,Moderna Vaccine,05/25/2021,100,POINT (-76.805215 40.306833)
Cvs Store #05710,120 5th Street,Ellwood City,Lawrence,PA,16117,Janssen Vaccine,05/25/2021,300,POINT (-80.287339 40.860947)
Burns Pharmacy,82 N Pennsylvania Ave,Morrisville,Bucks,PA,19067,Moderna Vaccine,05/25/2021,100,POINT (-74.776635 40.209881)
Weis Markets Inc,801 N Loyalsock Ave,Montoursville,Lycoming,PA,17754,Janssen Vaccine,05/25/2021,100,POINT (-76.917744 41.258833)
Cvs Store #01677,33 E Market Street,Lewistown,Mifflin,PA,17044,Pfizer Vaccine,05/25/2021,1170,POINT (-77.573932 40.597822)
F B Thomas Drug Store Inc,327 Main Street,Meyersdale,Somerset,PA,15552,Moderna Vaccine,05/25/2021,100,POINT (-79.024505 39.815157)
The Giant Company Store # 6466,1000 Logan Boulevard Suite 108,Altoona,Blair,PA,16602,Moderna Vaccine,05/25/2021,200,POINT (-78.401939 40.475136)
Cvs Store #05991,6706 Carlisle Pike,Mechanicsburg,Cumberland,PA,17050,Janssen Vaccine,05/25/2021,200,POINT (-77.053572 40.239619)
Walmart Pharmacy #2255,761 Airport Rd,Hazle Township,Luzerne,PA,18202,Janssen Vaccine,05/25/2021,100,POINT (-76.01314 40.988342)
The Giant Company Store # 6547,1661 Easton Road,Warrington,Bucks,PA,18976,Moderna Vaccine,05/25/2021,100,POINT (-75.130146 40.268072)
Sav-on Pharmacy,1640 Bethlehem Pike,Flourtown,Montgomery,PA,19031,Moderna Vaccine,05/25/2021,100,POINT (-75.213535 40.106934)
The Giant Company Store # 6321,859 Nazareth Pike,Nazareth,Northampton,PA,18064,Moderna Vaccine,05/25/2021,100,POINT (-75.314175 40.730169)
Weis Markets Inc,2 Anthra Plaza Ctr,Coal Township,Northumberland,PA,17866,Moderna Vaccine,05/25/2021,100,POINT (-76.521088 40.789586)
5 Star Pharmacy Andmedical Supply,209 2nd Street Pike,Southampton,Bucks,PA,18966,Janssen Vaccine,05/25/2021,400,POINT (-75.027619 40.196751)
Walmart Pharmacy #5446,405 Murtha Dr,Waynesburg,Greene,PA,15370,Janssen Vaccine,05/25/2021,100,POINT (-80.129794 39.895125)
Weis Markets Inc,1651 E Cumberland Street,Lebanon,Lebanon,PA,17042,Moderna Vaccine,05/25/2021,100,POINT (-76.381601 40.350357)
Giant Eagle Inc.,200 Allegheny River Blvd.,Verona,Allegheny,PA,15147,Moderna Vaccine,05/25/2021,100,POINT (-79.843562 40.499226)
Sav-on Pharmacy,2301 Bristol Rd,Cornwells Heights,Bucks,PA,19020,Moderna Vaccine,05/25/2021,100,POINT (-74.923375 40.131044)
The Giant Company Store # 6509,737 Huntingdon Pike,Huntingdon Valley,Montgomery,PA,19006,Moderna Vaccine,05/25/2021,100,POINT (-75.093708 40.086465)
Cvs Store #10767,4664 Browns Hill Rd.,Pittsburgh,Allegheny,PA,15217,Pfizer Vaccine,05/25/2021,1170,POINT (-79.923202 40.41411)
The Giant Company Store # 6294,1255 Carlisle Road,York,York,PA,17404,Moderna Vaccine,05/25/2021,100,POINT (-76.768499 39.964257)
Weis Markets Inc,339 W Walnut Street,Shamokin,Northumberland,PA,17872,Moderna Vaccine,05/25/2021,100,POINT (-76.561627 40.789843)
The Giant Company Store # 6314,216 East Fairmount St,Coopersburg,Lehigh,PA,18036,Pfizer Vaccine,05/25/2021,1170,POINT (-75.38429 40.51594)
The Giant Company Store # 6043,1880 Leithsville Rd,Hellertown,Northampton,PA,18055,Moderna Vaccine,05/25/2021,100,POINT (-75.339414 40.562858)
Cvs Store #01159,760 Miles Rd.,West Chester,Chester,PA,19380,Pfizer Vaccine,05/25/2021,1170,POINT (-75.628143 39.963855)
Cvs Store #02321,744 Wertzville Rd,Enola,Cumberland,PA,17025,Pfizer Vaccine,05/25/2021,1170,POINT (-76.946718 40.287653)
Walmart Pharmacy #5356,300 Resort Plaza Dr,Blairsville,Indiana,PA,15717,Pfizer Vaccine,05/25/2021,1170,POINT (-79.226792 40.442946)
The Giant Company Store # 6464,721 W.sproul Road,Springfield,Delaware,PA,19064,Moderna Vaccine,05/25/2021,100,POINT (-75.351974 39.934844)
Sav-on Pharmacy,907 Paoli Pike,West Chester,Chester,PA,19380,Moderna Vaccine,05/25/2021,100,POINT (-75.585284 39.969727)
Symbria Rx Great Lakes South,1596 Hancock Avenue,Apollo,Westmoreland,PA,15613,Janssen Vaccine,05/25/2021,100,POINT (-79.570446 40.576025)
RITE AID 11089,1 Ice Cream Alley,Newtown,Bucks,PA,18940,Pfizer Vaccine,04/20/2021,1170,
Walmart Pharmacy #4501,134 Daniel Kendall Dr,West Brownsville,Fayette,PA,15417,Janssen Vaccine,05/25/2021,100,POINT (-79.90039 40.02924)
Sam's Pharmacy #8161,2801 E Market St,York,York,PA,17402,Janssen Vaccine,05/25/2021,100,POINT (-76.673255 39.975306)
Marcus Hook Pharmacy,46 East 10th Street,Marcus Hook,Delaware,PA,19061,Janssen Vaccine,05/25/2021,100,POINT (-75.415915 39.82036)
Rite Aid 01581,524 North 6th Street,Reading,Berks,PA,19601,Janssen Vaccine,05/25/2021,400,POINT (-75.92567 40.343919)
Walmart Pharmacy #1529,2801 E Market St Bldg B,York,York,PA,17402,Janssen Vaccine,05/25/2021,100,POINT (-76.673255 39.975306)
Giant Eagle Inc.,132 Ben Avon Heights Road,Pittsburgh,Allegheny,PA,15237,Moderna Vaccine,05/25/2021,100,POINT (-80.070318 40.522928)
Walmart Pharmacy #2145,2601 Macarthur Rd,Whitehall,Lehigh,PA,18052,Janssen Vaccine,05/25/2021,100,POINT (-75.492227 40.644372)
Walmart Pharmacy #2252,3722 Easton Nazareth Hwy,Easton,Northampton,PA,18045,Janssen Vaccine,05/25/2021,100,POINT (-75.284508 40.714167)
Sav-on Pharmacy,323 Old York Rd,Jenkintown,Montgomery,PA,19046,Moderna Vaccine,05/25/2021,100,POINT (-75.126544 40.089983)
Weis Markets Inc,719 Route 522,Selinsgrove,Snyder,PA,17870,Janssen Vaccine,05/25/2021,100,POINT (-76.864729 40.810178)
Cvs Store #02879,700 Rte 113,Souderton,Montgomery,PA,18964,Pfizer Vaccine,05/25/2021,1170,POINT (-75.310909 40.315176)
Giant Eagle Inc.,400 Northtowne Square,Gibsonia,Allegheny,PA,15044,Moderna Vaccine,05/25/2021,100,POINT (-79.940261 40.635901)
Adzema Pharmacy,8105 Perry Hwy,Pittsburgh,Allegheny,PA,15237,Janssen Vaccine,05/25/2021,100,POINT (-80.03868 40.554758)
Rite Aid 04004,2108 Macarthur Road,Whitehall,Lehigh,PA,18052,Pfizer Vaccine,05/25/2021,1170,POINT (-75.487475 40.63534)
Cvs Store #02040,2193 York Rd,Jamison,Bucks,PA,18929,Pfizer Vaccine,05/25/2021,1170,POINT (-75.089321 40.254311)
Giant Eagle Inc.,223 Grove City Rd.,Slippery Rock,Butler,PA,16057,Moderna Vaccine,05/25/2021,100,POINT (-80.051839 41.070254)
Walmart Pharmacy #5360,11415 Hydetown Rd,Titusville,Crawford,PA,16354,Janssen Vaccine,05/25/2021,100,POINT (-79.69681 41.634033)
Quality Pharmacy Lp,164 Medical Center Road,Chicora,Butler,PA,16025,Janssen Vaccine,05/25/2021,100,POINT (-79.749293 40.940075)
Rite Aid 10966,314 East Pittsburgh Street,Greensburg,Westmoreland,PA,15601,Pfizer Vaccine,05/25/2021,1170,POINT (-79.537451 40.303329)
Walmart Pharmacy #2574,60 Noble Blvd,Carlisle,Cumberland,PA,17013,Janssen Vaccine,05/25/2021,100,POINT (-77.194192 40.191115)
Weis Markets Inc,1100 N Fourth Street,Sunbury,Northumberland,PA,17801,Moderna Vaccine,05/25/2021,100,POINT (-76.784799 40.873019)
Weis Markets Inc,112 Atlantic Ave,Dingmans Ferry,Pike,PA,18328,Janssen Vaccine,05/25/2021,100,
Walgreens Store #07843,201 Wyoming Ave,Kingston,Luzerne,PA,18704,Janssen Vaccine,05/25/2021,300,POINT (-75.896893 41.262098)
The Giant Company Store # 6447,2300 Linglestown Road,Harrisburg,Dauphin,PA,17110,Pfizer Vaccine,05/25/2021,1170,POINT (-76.861591 40.32909)
Rite Aid 07772,33 West Ridge Street #101,Limerick,Montgomery,PA,19468,Pfizer Vaccine,05/25/2021,1170,
The Giant Company Store # 6273,600 E Lancaster Ave,Shillington,Berks,PA,19607,Moderna Vaccine,05/25/2021,100,
Giant Eagle Inc.,289 State Route 288,Ellwood City,Lawrence,PA,16117,Moderna Vaccine,05/25/2021,100,POINT (-80.258265 40.846381)
The Giant Company Store # 6524,2121 South Atherton Street,State College,Centre,PA,16801,Moderna Vaccine,05/25/2021,200,POINT (-77.831339 40.78488)
Walmart Pharmacy #2287,2501 W State St,New Castle,Lawrence,PA,16101,Janssen Vaccine,05/25/2021,100,POINT (-80.393517 41.01173)
Giant Eagle Inc.,510 Marwalt Lane,Roaring Spring,Blair,PA,16673,Moderna Vaccine,05/25/2021,100,POINT (-78.391617 40.330001)
Walmart Pharmacy #4643,1500 Economy Way,Baden,Beaver,PA,15005,Janssen Vaccine,05/25/2021,100,POINT (-80.22661 40.65819)
Waltmire Pharmacy,1435 Spring Garden Avenue,Pittsburgh,Allegheny,PA,15212,Janssen Vaccine,05/25/2021,200,POINT (-79.986847 40.462784)
Sav-on Pharmacy,851 Gap Newport Pike,Avondale,Chester,PA,19311,Moderna Vaccine,05/25/2021,100,POINT (-75.795146 39.835147)
Cvs Store #02032,1200 West Main Street,Norristown,Montgomery,PA,19401,Pfizer Vaccine,05/25/2021,1170,POINT (-75.35965 40.121875)
Weis Markets Inc,500 Pottsville Park Plz,Pottsville,Schuylkill,PA,17901,Moderna Vaccine,05/25/2021,100,POINT (-76.184329 40.698473)
The Giant Company Store # 6453,330 Marketplace Boulevard,Selinsgrove,Snyder,PA,17870,Moderna Vaccine,05/25/2021,100,POINT (-76.834846 40.841273)
Walgreens Store #06837,699 W Germantown Pike,Norristown,Montgomery,PA,19403,Pfizer Vaccine,05/25/2021,1170,POINT (-75.347869 40.152051)
Cvs Store #04085,6100 Penn Ave.,Pittsburgh,Allegheny,PA,15206,Janssen Vaccine,05/25/2021,200,POINT (-79.923537 40.460989)
Pharmerica - Wilkes Barre,153 Stewart Road,Wilkes Barre,Luzerne,PA,18706,Moderna Vaccine,05/25/2021,300,POINT (-75.921518 41.21495)
Weis Markets Inc,5020 Route 873,Schnecksville,Lehigh,PA,18078,Janssen Vaccine,05/25/2021,100,POINT (-75.613976 40.677148)
Cvs Store #01604,350 North 10th St.,Lewisburg,Union,PA,17837,Pfizer Vaccine,05/25/2021,1170,
The Giant Company Store # 6505,1375 Boot Road,West Chester,Chester,PA,19380,Moderna Vaccine,05/25/2021,100,POINT (-75.550014 39.98898)
Rite Aid 17783,7036 Wertzville Road,Mechanicsburg,Cumberland,PA,17050,Pfizer Vaccine,05/25/2021,1170,POINT (-77.049427 40.283218)
Cvs Store #02882,3201 Market St.,Camp Hill,Cumberland,PA,17011,Pfizer Vaccine,05/25/2021,1170,POINT (-76.935091 40.239769)
Giant Eagle Inc.,2021 Wharton Street,Pittsburgh,Allegheny,PA,15203,Moderna Vaccine,05/25/2021,100,POINT (-79.977315 40.430371)
The Giant Company Store # 6455,3560 Route 611 Suite 105,Bartonsville,Monroe,PA,18321,Moderna Vaccine,05/25/2021,100,POINT (-75.273417 41.002343)
Pharmerica - Greensburg,4000 Hempfield Plaza Blvd.,Greensburg,Westmoreland,PA,15601,Moderna Vaccine,05/25/2021,100,POINT (-79.582096 40.30995)
Rite Aid 11106,600 Lincoln Highway,Fairless Hills,Bucks,PA,19030,Pfizer Vaccine,05/25/2021,1170,POINT (-74.830452 40.190887)
Langhorne Pharmacy,172 N. Pine Street,Langhorne,Bucks,PA,19047,Moderna Vaccine,05/25/2021,100,POINT (-74.918009 40.178405)
Pocono Pharmacy,300 Commerce Blvd Suite # 130,Stroudsburg,Monroe,PA,18360,Janssen Vaccine,05/25/2021,100,POINT (-75.262989 40.998407)
Walgreens Store #07224,119 E Dekalb Pike,King of Prussia,Montgomery,PA,19406,Moderna Vaccine,05/25/2021,100,POINT (-75.36214 40.094837)
Standard Drug Store,322 South Hancock Street,Mcadoo,Schuylkill,PA,18237,Janssen Vaccine,05/25/2021,100,POINT (-75.995685 40.898663)
Giant Eagle Inc.,700 Moraine Point Plaza,Butler,Butler,PA,16001,Moderna Vaccine,05/25/2021,100,POINT (-79.950786 40.875011)
Walgreens Store #07740,52 Chester Pike,Darby,Delaware,PA,19023,Janssen Vaccine,05/25/2021,100,POINT (-75.26461 39.916767)
Cvs Store #00813,1034 Second Street Pike,Richboro,Bucks,PA,18954,Pfizer Vaccine,05/25/2021,1170,POINT (-75.01048 40.216542)
Walgreens Store #11560,949 Lincoln Way E,Chambersburg,Franklin,PA,17201,Moderna Vaccine,05/25/2021,100,POINT (-77.6438 39.931589)
